id,first_name,last_name,dob,email,phone,city,state,standing,major
A00975084,Opal,Hayes,09/05/2001,ohayest@university.edu,330-259-2186,Youngstown,OH,GR,RADT
A00448862,Rorke,Corteis,11/15/1995,rcorteisu@university.edu,412-950-7132,Pittsburgh,PA,JR,CEE
A00786729,Iorgos,Danks,05/22/1997,idanksv@university.edu,317-395-3427,Indianapolis,IN,SO,ME
A00199968,Calv,Girault,05/04/1991,cgiraultw@university.edu,714-321-3143,Irvine,CA,SO,SURV
A00125132,Carver,Wiggington,07/30/1995,cwiggingtonx@university.edu,256-330-7417,Gadsden,AL,GR,MUSC
A00953757,Alysia,Deyes,05/22/2001,adeyesy@university.edu,718-497-7237,Staten Island,NY,JR,COMM
A00243999,Garrard,Rheubottom,11/25/2000,grheubottomz@university.edu,361-108-6883,Corpus Christi,TX,GR,HSC
A00758342,Iseabal,Haulkham,07/02/2001,ihaulkham10@university.edu,859-757-4168,Lexington,KY,SO,ASTR
A00928864,Ange,Laird-Craig,11/09/2002,alairdcraig11@university.edu,804-984-0847,Richmond,VA,SR,BIOL
A00663990,Dwayne,Plain,10/29/2000,dplain12@university.edu,918-666-7240,Tulsa,OK,SR,ECON
A00866926,Lisha,Leyre,12/26/1997,lleyre13@university.edu,402-355-9822,Lincoln,NE,FR,CJCR
A00614642,Fifi,Forrestall,02/12/1995,fforrestall14@university.edu,812-722-0546,Terre Haute,IN,JR,TELC
A00816217,Mischa,Treleven,05/29/2001,mtreleven15@university.edu,484-256-0649,Valley Forge,PA,JR,BUSN
A00904378,Sayre,Carleman,12/11/1996,scarleman16@university.edu,616-171-0505,Grand Rapids,MI,SR,UNIV
A00236484,Harri,Blaxlande,09/27/2001,hblaxlande17@university.edu,225-252-7190,Baton Rouge,LA,SO,PHSI
A00149316,Clive,Duding,12/29/1995,cduding18@university.edu,915-944-2762,El Paso,TX,SO,AMBA
A00027021,Ron,Molloy,02/06/1998,rmolloy19@university.edu,602-315-7334,Phoenix,AZ,SO,ADMN
A00920344,Sauveur,Pontefract,07/20/1998,spontefract1a@university.edu,202-737-2279,Washington,DC,FR,PBRL
A00604025,Isak,Blackmuir,02/05/2000,iblackmuir1b@university.edu,504-816-4418,New Orleans,LA,SO,SWRK
A00271657,Lief,Breckenridge,12/20/1999,lbreckenridge1c@university.edu,225-660-8743,Baton Rouge,LA,FR,HETH
A00949777,Ephrem,Pursehouse,11/16/1999,epursehouse1d@university.edu,626-658-4626,Los Angeles,CA,FR,ET
A00092117,Rowena,Richford,09/07/1996,rrichford1e@university.edu,915-521-1277,El Paso,TX,JR,CITC
A00434325,Amery,Spilsbury,11/27/1999,aspilsbury1f@university.edu,303-132-3388,Denver,CO,JR,LIST
A00562483,Faydra,Habbeshaw,01/10/1996,fhabbeshaw1g@university.edu,206-414-1107,Tacoma,WA,SR,EPID
A00635148,Darb,Bromage,12/25/2001,dbromage1h@university.edu,786-270-3882,Miami,FL,GR,SOAA
A00798299,Gearalt,Purser,06/05/1999,gpurser1i@university.edu,619-979-7238,San Diego,CA,SR,LEAD
A00997126,Nanny,Kelway,07/26/1995,nkelway1j@university.edu,651-470-0952,Saint Paul,MN,JR,HIST
A00428564,Carree,Pollok,04/27/2000,cpollok1k@university.edu,404-829-8060,Atlanta,GA,JR,MICR
A00787810,Livvie,Hospital,12/15/2001,lhospital1l@university.edu,202-513-0938,Washington,DC,GR,ACCT
A00798318,Dayle,Wallworth,12/24/2000,dwallworth1m@university.edu,901-625-8396,Memphis,TN,SO,GREK
A00457957,Marylin,Broggetti,08/09/1998,mbroggetti1n@university.edu,682-822-6753,Fort Worth,TX,SO,FNCE
A00141686,Darline,Dawtrey,09/30/1992,ddawtrey1o@university.edu,916-284-8999,Sacramento,CA,SO,BIOL
A00253299,Morgen,Mucci,11/06/1995,mmucci1p@university.edu,713-632-4076,Houston,TX,JR,BIOC
A00903531,Bekki,Carlet,02/28/2002,bcarlet1q@university.edu,404-202-7788,Atlanta,GA,FR,JAPN
A00258866,Van,Cuel,08/02/2001,vcuel1r@university.edu,251-930-9043,Mobile,AL,JR,PSY
A00234132,Felipe,Mound,05/08/2000,fmound1s@university.edu,214-864-0261,Dallas,TX,GR,STOR
A00253829,Ario,Chesson,04/06/1995,achesson1t@university.edu,505-973-0032,Albuquerque,NM,SR,ENVH
A00758854,Wyatt,Leas,06/10/2002,wleas1u@university.edu,317-988-7737,Indianapolis,IN,FR,CRMJ
A00026249,Farlay,Smeaton,08/12/1998,fsmeaton1v@university.edu,202-795-9994,Washington,DC,SR,COUN
A00906689,Loree,Stains,12/30/1995,lstains1w@university.edu,216-235-4539,Cleveland,OH,SR,POLI
A00643541,Barthel,Stud,01/28/1995,bstud1x@university.edu,845-379-5762,White Plains,NY,FR,PMGT
A00466144,Lia,Layson,04/14/1999,llayson1y@university.edu,214-813-8205,Garland,TX,SR,GRAD
A00630335,Meaghan,Ramsted,08/28/1995,mramsted1z@university.edu,248-464-8673,Troy,MI,SR,WEB
A00192610,Melinda,Schrader,11/15/1996,mschrader20@university.edu,404-739-1549,Atlanta,GA,FR,PHYT
A00484747,Josie,Poyser,05/25/1998,jpoyser21@university.edu,912-891-8119,Macon,GA,GR,PBRL
A00669995,Merwin,Haburne,12/04/1995,mhaburne22@university.edu,407-847-7078,Orlando,FL,GR,LANG
A00840740,Ada,Eddowes,05/18/1997,aeddowes23@university.edu,336-767-5979,Greensboro,NC,SO,COM
A00327580,Amalita,Yegorov,03/08/2002,ayegorov24@university.edu,205-277-0741,Birmingham,AL,JR,PMGT
A00613531,Anjanette,MacTrustam,07/20/2002,amactrustam25@university.edu,812-503-2634,Evansville,IN,JR,LDSP
A00778254,Janek,Dolbey,02/19/2001,jdolbey26@university.edu,209-693-5063,Fresno,CA,SR,INTD
A00193399,Saw,Dallender,12/25/1998,sdallender27@university.edu,251-335-4410,Mobile,AL,SR,HUMT
A00564821,Carena,Kender,07/23/1995,ckender28@university.edu,202-155-8157,Washington,DC,JR,PMGT
A00674505,Gretna,Stickney,07/23/1996,gstickney29@university.edu,865-976-2901,Knoxville,TN,JR,PADM
A00117511,Eda,Blethyn,04/30/1995,eblethyn2a@university.edu,734-664-6070,Detroit,MI,JR,SOWK
A00998433,Hardy,Coare,05/01/1996,hcoare2b@university.edu,706-916-5594,Augusta,GA,FR,MGMT
A00670257,Des,Bensen,10/29/1997,dbensen2c@university.edu,412-945-0919,Pittsburgh,PA,JR,MSCI
A00300228,Aldous,Khidr,07/29/2000,akhidr2d@university.edu,407-430-7723,Orlando,FL,SR,TEAE
A00844817,Walther,Shingles,07/25/1997,wshingles2e@university.edu,212-376-0099,New York City,NY,SO,TEAS
A00134342,Janeen,Costall,09/22/1998,jcostall2f@university.edu,682-282-1807,Fort Worth,TX,GR,INFS
A00953339,Norene,Carous,05/06/2000,ncarous2g@university.edu,502-493-3822,Migrate,KY,FR,BIOC
A00435389,Stanly,Danjoie,11/11/1999,sdanjoie2h@university.edu,713-569-0849,Houston,TX,JR,NTFD
A00210086,Car,Bowman,09/14/2001,cbowman2i@university.edu,202-745-7361,Washington,DC,SO,SURV
A00808867,Morgan,Giovannacci,03/04/2000,mgiovannacci2j@university.edu,502-650-1545,Louisville,KY,JR,BIOC
A00092761,Blinnie,Ratcliff,09/17/1998,bratcliff2k@university.edu,812-193-5286,Evansville,IN,SO,POLS
A00110822,Rhonda,Stoneman,11/14/1995,rstoneman2l@university.edu,408-318-6047,San Jose,CA,FR,EDUC
A00294401,Dori,Lacoste,08/24/1998,dlacoste2m@university.edu,704-532-3388,Charlotte,NC,SO,BLUE
A00152412,Isac,Spurdon,08/30/2001,ispurdon2n@university.edu,509-292-1048,Spokane,WA,FR,GEOS
A00822752,Courtenay,Cammish,11/03/1996,ccammish2o@university.edu,502-708-5030,Louisville,KY,JR,BIOC
A00828356,Pieter,Domleo,03/23/1996,pdomleo2p@university.edu,707-143-6728,Santa Rosa,CA,SO,ASTR
A00864320,Willey,Guidera,01/18/1997,wguidera2q@university.edu,205-530-3851,Tuscaloosa,AL,FR,CSCI
A00788172,Murray,Kondrachenko,03/30/1995,mkondrachenko2r@university.edu,915-401-7407,El Paso,TX,FR,STOR
A00631259,Darleen,Lindenboim,04/13/1996,dlindenboim2s@university.edu,330-908-9131,Akron,OH,SR,CBAT
A00194301,Leela,Shovell,09/28/2002,lshovell2t@university.edu,307-746-9448,Cheyenne,WY,SO,HPSS
A00463769,Audry,Alyokhin,04/28/1996,aalyokhin2u@university.edu,318-622-6905,Shreveport,LA,GR,SOAA
A00169595,Ellswerth,Kevern,09/01/2001,ekevern2v@university.edu,312-142-1878,Chicago,IL,JR,CISP
A00649685,Darcie,Haste,04/16/2002,dhaste2w@university.edu,763-221-0482,Maple Plain,MN,GR,MEDA
A00490896,Roarke,Khidr,01/19/1998,rkhidr2x@university.edu,217-880-6339,Springfield,IL,JR,FNCE
A00150934,Kalie,Gibbonson,07/24/1995,kgibbonson2y@university.edu,240-588-6433,Bowie,MD,JR,BADM
A00378911,Venita,Welsh,02/11/1995,vwelsh2z@university.edu,417-286-4680,Springfield,MO,JR,ASLC
A00901748,Jarid,Grabham,06/02/1996,jgrabham30@university.edu,570-360-6518,Wilkes Barre,PA,SO,BUSN
A00989235,Elaine,Taunton,10/12/2002,etaunton31@university.edu,847-162-1061,Evanston,IL,SR,SOAA
A00388040,Winifield,Caudray,08/04/1995,wcaudray32@university.edu,208-930-8248,Boise,ID,GR,EDAD
A00173270,Darelle,McConnel,02/05/1995,dmcconnel33@university.edu,704-978-7655,Charlotte,NC,GR,CRMJ
A00977938,Virgina,Dreini,07/30/2002,vdreini34@university.edu,812-482-3302,Evansville,IN,FR,CITC
A00210400,Ursola,Hoyland,09/19/1995,uhoyland35@university.edu,619-300-8690,San Diego,CA,SO,COBH
A00196140,Jerald,Kilford,09/15/1997,jkilford36@university.edu,909-869-1386,San Bernardino,CA,FR,DHYG
A00608830,Cornela,Haffard,10/10/1997,chaffard37@university.edu,512-276-4957,Austin,TX,JR,PHAR
A00971286,Worthington,Gariff,03/12/1999,wgariff38@university.edu,727-807-4738,Saint Petersburg,FL,FR,EDU
A00963524,Ivy,Wanderschek,12/13/1995,iwanderschek39@university.edu,501-151-1171,Little Rock,AR,SR,ECON
A00386227,Linzy,Thews,02/24/2002,lthews3a@university.edu,702-405-6321,Las Vegas,NV,SO,PUBR
A00345791,Imogen,Burnie,11/23/2002,iburnie3b@university.edu,215-690-7019,Philadelphia,PA,SR,BMGT
A00157456,Jessie,Shrubb,07/24/2002,jshrubb3c@university.edu,240-609-7728,Gaithersburg,MD,GR,PSYC
A00413535,Rogers,Rashleigh,02/01/1996,rrashleigh3d@university.edu,217-366-9721,Decatur,IL,SO,MRCH
A00215531,North,Kayes,03/17/1995,nkayes3e@university.edu,916-367-0381,Sacramento,CA,FR,ARTA
A00711261,Arabela,Beavington,08/17/1997,abeavington3f@university.edu,719-609-5353,Colorado Springs,CO,GR,PREH
A00409707,Todd,Peyes,08/01/1997,tpeyes3g@university.edu,678-122-4216,Gainesville,GA,SR,MALS
A00431172,Panchito,Rudd,10/30/2001,prudd3h@university.edu,864-981-5829,Spartanburg,SC,SO,RELI
A00160441,Luce,Wrought,04/29/2002,lwrought3i@university.edu,317-899-9220,Indianapolis,IN,SO,MICR
A00322320,Winnifred,Knappe,11/01/1996,wknappe3j@university.edu,304-261-1976,Charleston,WV,FR,BIOL
A00438216,Nada,Symcoxe,03/19/1995,nsymcoxe3k@university.edu,850-380-4403,Tallahassee,FL,SO,ENVH
A00547018,Thaxter,Laws,09/05/1974,tlaws3l@university.edu,208-598-5967,Idaho Falls,ID,GR,AGRI
A00548058,Carla,Bony,08/10/2000,cbony3m@university.edu,805-326-3028,Van Nuys,CA,FR,AVST
A00555265,Malvina,Barringer,01/04/1997,mbarringer3n@university.edu,413-976-7664,Springfield,MA,GR,ALHS
A00815325,Marieann,Looker,09/02/2001,mlooker3o@university.edu,408-411-1696,San Jose,CA,FR,PHIL
A00406912,Nikolaos,Skirvin,10/29/2000,nskirvin3p@university.edu,734-592-6011,Dearborn,MI,SO,STOR
A00520070,Skippie,Bodycombe,04/16/1999,sbodycombe3q@university.edu,512-984-4796,Austin,TX,SO,LANG
A00801430,Ronny,Karolczyk,08/27/1999,rkarolczyk3r@university.edu,918-483-1355,Tulsa,OK,SR,PMSY
A00925254,Kennie,Winkless,09/19/1996,kwinkless3s@university.edu,407-502-7810,Orlando,FL,SO,NRSE
A00333922,Gabbie,Malacrida,06/21/1999,gmalacrida3t@university.edu,607-130-1352,Elmira,NY,JR,SOCI
A00132848,Dani,McKelvey,12/03/1999,dmckelvey3u@university.edu,915-217-0330,El Paso,TX,FR,ACCT
A00704972,Domenic,Double,09/23/2001,ddouble3v@university.edu,907-407-2987,Anchorage,AK,FR,COM
A00191571,Fabiano,Willcox,12/20/1996,fwillcox3w@university.edu,626-131-6505,Pasadena,CA,SR,PSYC
A00855643,Pat,Plenderleith,03/03/1996,pplenderleith3x@university.edu,636-924-4515,Saint Louis,MO,SR,ENGR
A00927418,Conan,Keatch,07/29/1998,ckeatch3y@university.edu,210-860-0256,San Antonio,TX,JR,DIGM
A00229882,Dixie,Urvoy,05/25/2000,durvoy3z@university.edu,716-656-0670,Buffalo,NY,GR,MATH
A00936080,Merle,Blackall,02/23/1997,mblackall40@university.edu,202-747-0645,Washington,DC,FR,DIGM
A00406977,Ashby,Gisbye,03/06/2002,agisbye41@university.edu,763-889-8491,Monticello,MN,GR,MKTG
A00322428,Orazio,Guarin,10/23/2002,oguarin42@university.edu,816-576-6046,Saint Joseph,MO,JR,HSCI
A00677254,Charis,Goschalk,02/12/2000,cgoschalk43@university.edu,225-139-9916,Baton Rouge,LA,JR,TELC
A00192062,Winny,Jodrelle,06/11/2000,wjodrelle44@university.edu,210-220-6699,San Antonio,TX,FR,PMPR
A00765256,Franny,Behrendsen,08/03/1995,fbehrendsen45@university.edu,772-124-9881,Fort Pierce,FL,GR,EDUC
A00422155,Terrance,Norrington,09/17/2002,tnorrington46@university.edu,504-276-4237,New Orleans,LA,SR,TECH
A00422980,Roland,Loveday,10/09/1997,rloveday47@university.edu,860-825-1238,Hartford,CT,JR,RTVF
A00038041,Mata,Kidstoun,10/24/2002,mkidstoun48@university.edu,619-776-0556,San Diego,CA,GR,MRCH
A00848512,Jens,Robertelli,09/30/2001,jrobertelli49@university.edu,571-511-5577,Springfield,VA,FR,INTD
A00399339,Lodovico,Tumilson,05/03/1997,ltumilson4a@university.edu,512-566-9745,Austin,TX,JR,PHIL
A00364938,Alena,Ownsworth,01/28/2001,aownsworth4b@university.edu,843-711-5236,Charleston,SC,GR,PTMA
A00730855,Georgi,Agron,07/06/2002,gagron4c@university.edu,713-881-0098,Houston,TX,SR,PHED
A00307923,Agatha,Tumayan,06/10/1996,atumayan4d@university.edu,317-502-9583,Indianapolis,IN,SR,CUAI
A00176728,Garwood,Rafe,06/07/2000,grafe4e@university.edu,518-406-7985,Albany,NY,FR,PHED
A00035381,Lynna,Bilham,03/03/1997,lbilham4f@university.edu,210-892-5473,San Antonio,TX,SO,MUS
A00922644,Esma,Faas,12/19/2001,efaas4g@university.edu,806-950-3151,Amarillo,TX,JR,PMSY
A00002770,Audy,Lounds,04/22/2002,alounds4h@university.edu,904-708-6716,Saint Augustine,FL,GR,INFS
A00193024,Gustaf,Di Gregorio,09/16/2002,gdigregorio4i@university.edu,412-491-8672,Pittsburgh,PA,GR,CEE
A00839893,Joe,Senchenko,02/07/1996,jsenchenko4j@university.edu,212-843-4307,New York City,NY,SR,GREK
A00325318,Gene,Jostan,10/02/2002,gjostan4k@university.edu,316-949-1142,Wichita,KS,SO,ANTH
A00136811,Nolana,Took,02/03/2000,ntook4l@university.edu,317-690-1379,Indianapolis,IN,JR,BADM
A00587571,Lorianne,Gurley,10/07/1997,lgurley4m@university.edu,919-826-6648,Raleigh,NC,FR,HLSC
A00586890,Corella,Strodder,09/26/1999,cstrodder4n@university.edu,973-191-2563,Newark,NJ,FR,ARTH
A00762806,Tobin,Tripon,08/21/1999,ttripon4o@university.edu,772-515-2658,Vero Beach,FL,FR,ASLC
A00764224,Denis,Westmoreland,06/03/1995,dwestmoreland4p@university.edu,330-496-5981,Akron,OH,JR,TELC
A00080485,Debra,Ricioppo,05/23/1997,dricioppo4q@university.edu,516-103-8473,Jamaica,NY,SR,MALS
A00706804,Cesya,Becken,06/08/1995,cbecken4r@university.edu,727-299-7097,Saint Petersburg,FL,SR,GREK
A00787182,Antons,Titterton,03/29/1999,atitterton4s@university.edu,202-911-7678,Washington,DC,SR,PSY
A00513599,Lorne,Holworth,06/16/1997,lholworth4t@university.edu,704-600-0909,Charlotte,NC,FR,ENGR
A00677409,Amye,Grayne,01/13/1997,agrayne4u@university.edu,614-512-3592,Columbus,OH,JR,SURV
A00071751,Lindsey,Whistlecroft,02/08/2002,lwhistlecroft4v@university.edu,317-763-7701,Indianapolis,IN,FR,ENVS
A00573298,Stanleigh,Hulmes,08/09/1998,shulmes4w@university.edu,518-314-1642,Albany,NY,JR,AFAM
A00571269,Christoph,Antyukhin,04/27/2002,cantyukhin4x@university.edu,480-754-0086,Phoenix,AZ,FR,DIGM
A00613576,Maitilde,Nafzger,08/12/1997,mnafzger4y@university.edu,909-904-4403,San Bernardino,CA,SR,BIOL
A00273088,Gae,Girardoni,10/13/1996,ggirardoni4z@university.edu,720-842-9248,Littleton,CO,GR,NTFD
A00382643,Garvin,Callinan,09/27/2002,gcallinan50@university.edu,410-985-8615,Ridgely,MD,SR,BUSN
A00332919,Agnola,Robillard,07/15/1998,arobillard51@university.edu,907-283-3967,Juneau,AK,SR,AGRI
A00382419,Brucie,Dimmer,08/09/2000,bdimmer52@university.edu,216-265-1089,Cleveland,OH,SR,INFS
A00489101,Claudianus,Montgomery,05/15/1998,cmontgomery@university.edu,407-686-0002,Orlando,FL,SO,SRVL
A00682424,Franny,Brinkworth,06/02/1997,fbrinkworth54@university.edu,206-736-2868,Seattle,WA,FR,DIGM
A00569706,Shayne,Sara,12/25/1995,ssara55@university.edu,570-758-5695,Wilkes Barre,PA,SO,LEAD
A00327646,Freedman,Cremins,12/11/2000,fcremins56@university.edu,937-644-1989,Dayton,OH,SO,JRSM
A00825890,Sonnie,Klulik,11/09/1996,sklulik57@university.edu,281-234-6264,Houston,TX,SO,FNCE
A00699879,Ranice,Henbury,04/21/1997,rhenbury58@university.edu,936-408-8590,Huntsville,TX,SR,ASTL
A00638689,Lib,Randle,04/17/2001,lrandle59@university.edu,757-915-9740,Suffolk,VA,GR,PTMA
A00770483,Courtenay,Gaitley,03/01/1998,cgaitley5a@university.edu,941-904-6904,Sarasota,FL,SO,RADT
A00703250,Malory,O'Carran,07/24/1997,mocarran5b@university.edu,202-637-9152,Washington,DC,JR,RADT
A00511008,Dori,Burditt,05/24/2002,dburditt5c@university.edu,432-268-7873,Odessa,TX,SO,DANC
A00505389,Salomone,Monkton,07/05/2000,smonkton5d@university.edu,205-723-8818,Birmingham,AL,GR,ME
A00965025,Joe,Levens,11/15/1999,jlevens5e@university.edu,205-325-8845,Birmingham,AL,JR,PRST
A00142691,Carmine,Issacoff,01/06/1996,cissacoff5f@university.edu,414-153-6742,Milwaukee,WI,FR,MSDM
A00983735,Kimberley,Goulbourn,08/24/2000,kgoulbourn5g@university.edu,952-722-9830,Maple Plain,MN,FR,PSYC
A00837827,Blinny,Meace,03/18/2001,bmeace5h@university.edu,806-740-8565,Amarillo,TX,GR,ASLC
A00847672,Ozzy,Peeters,09/26/1996,opeeters5i@university.edu,405-132-7304,Oklahoma City,OK,GR,PMGT
A00520907,Mordecai,Lendrem,05/24/1997,mlendrem5j@university.edu,812-845-8771,Evansville,IN,JR,CJA
A00548562,Dorree,Stroban,05/03/2000,dstroban5k@university.edu,919-237-1662,Raleigh,NC,JR,COMM
A00026833,Sayer,Absolom,11/28/2002,sabsolom5l@university.edu,203-919-1523,Norwalk,CT,SR,HSCI
A00211774,Jeffy,Fincher,11/16/2001,jfincher5m@university.edu,916-334-8879,Sacramento,CA,GR,BLUE
A00003408,Court,Bogeys,06/06/2000,cbogeys5n@university.edu,504-526-5131,New Orleans,LA,SR,NRSE
A00696904,Ashely,Hexam,07/28/2002,ahexam5o@university.edu,405-930-4890,Oklahoma City,OK,SR,AMBA
A00360600,Mireille,Overel,03/02/2000,moverel5p@university.edu,303-720-6560,Aurora,CO,GR,INTD
A00293859,Rivkah,Kordes,07/17/1993,rkordes5q@university.edu,513-463-3667,Cincinnati,OH,SR,SOWK
A00887587,Maye,Elliston,03/08/1997,melliston5r@university.edu,214-500-8685,Garland,TX,GR,CUAI
A00143082,Talyah,Richardson,06/26/1998,trichardson5s@university.edu,425-685-5857,Everett,WA,JR,HUMT
A00826168,Vasili,Leuty,01/26/1998,vleuty5t@university.edu,605-448-4178,Sioux Falls,SD,SR,PSYC
A00296898,Shir,Danjoie,12/06/2000,sdanjoie5u@university.edu,310-375-0166,Santa Monica,CA,GR,SRVL
A00931755,Steffen,Labell,08/04/1999,slabell5v@university.edu,352-744-8242,Spring Hill,FL,SR,PHAR
A00380374,Bonnee,Bartolomeoni,05/22/1995,bbartolomeoni5w@university.edu,615-463-2935,Nashville,TN,GR,PBRL
A00036079,Ginnie,Ivashechkin,12/12/1995,givashechkin5x@university.edu,303-691-2939,Aurora,CO,SR,FNCE
A00052358,Ottilie,Swift,08/01/2002,oswift5y@university.edu,407-242-6349,Orlando,FL,SO,ALHS
A00322905,Lauren,Dranfield,06/27/1998,ldranfield5z@university.edu,937-853-8507,Dayton,OH,SO,PHYS
A00994854,Yasmin,Baccus,09/06/2000,ybaccus60@university.edu,714-940-2404,Santa Ana,CA,SO,WEBT
A00431114,Lorry,Giamitti,01/14/2002,lgiamitti61@university.edu,212-921-4903,New York City,NY,JR,RELI
A00834179,Rianon,Drummond,02/25/1998,rdrummond62@university.edu,801-362-8202,Salt Lake City,UT,SR,SW
A00683531,Carmina,Brunesco,03/25/1999,cbrunesco63@university.edu,816-408-2222,Kansas City,MO,FR,COBH
A00138900,Elsbeth,Dallaghan,07/23/2001,edallaghan64@university.edu,203-236-5494,Danbury,CT,FR,AVST
A00997689,Ciro,Lillyman,01/28/2002,clillyman65@university.edu,605-765-7203,Sioux Falls,SD,FR,CJCR
A00576227,Teresa,Herion,11/28/1998,therion66@university.edu,419-525-0326,Toledo,OH,FR,ASTL
A00474291,Bridie,Bracknall,01/06/1996,bbracknall67@university.edu,561-706-8965,Palm Bay,FL,FR,BIOC
A00378626,Delora,Laverenz,01/27/2002,dlaverenz68@university.edu,615-714-6096,Nashville,TN,SR,CRMJ
A00590648,Cordi,Edginton,04/01/2001,cedginton69@university.edu,816-376-4577,Kansas City,MO,FR,CPSC
A00753817,Gwenora,Hylands,09/16/2002,ghylands6a@university.edu,210-891-7357,San Antonio,TX,FR,HSRV
A00710936,Gray,Pywell,09/21/1999,gpywell6b@university.edu,719-432-2798,Colorado Springs,CO,GR,HLSC
A00406284,Lorelle,Fairley,01/27/2001,lfairley6c@university.edu,727-768-9512,Saint Petersburg,FL,FR,ALHS
A00735262,Winnie,Hallede,02/07/1997,whallede6d@university.edu,207-621-9441,Portland,ME,JR,ADMN
A00578209,Brig,Redwin,10/18/1999,bredwin6e@university.edu,702-216-8788,North Las Vegas,NV,SR,HSC
A00031186,Marcel,Wychard,06/28/2002,mwychard6f@university.edu,414-502-3669,Milwaukee,WI,JR,DIGM
A00761573,Andra,Anglim,05/19/2002,aanglim6g@university.edu,214-290-4742,Dallas,TX,GR,PSCI
A00629771,Bran,Laker,09/18/2000,blaker6h@university.edu,405-877-5812,Oklahoma City,OK,GR,MGMT
A00344365,Nissy,Riggert,05/02/2000,nriggert6i@university.edu,941-672-8570,Bradenton,FL,SO,RHSC
A00319384,Jason,Mohring,04/19/2002,jmohring6j@university.edu,336-263-4535,High Point,NC,JR,PETE
A00264128,Munroe,Dundredge,03/20/1998,mdundredge6k@university.edu,405-822-2729,Edmond,OK,FR,TEAS
A00847607,Benedikta,Thistleton,10/12/1996,bthistleton6l@university.edu,325-604-8054,San Angelo,TX,JR,BIOC
A00426120,Doralia,Hayhoe,08/28/1999,dhayhoe6m@university.edu,214-156-0850,Dallas,TX,JR,AGRI
A00271490,Cordey,Lempel,08/25/1996,clempel6n@university.edu,316-159-2018,Wichita,KS,SR,MEDA
